date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:20:58	12996/12996	---MCZ	200	added ('OK')	text/html	etag:W/%2232c4-40203ba15f040%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/ImageResources.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/ImageResources.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:20:59	25855/25855	---MCZ	200	added ('OK')	text/html	etag:W/%2264ff-40203b9e82980%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/InStreamFromIterativeWriter.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/InStreamFromIterativeWriter.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:20:59	12838/12838	---MCZ	200	added ('OK')	text/html	etag:W/%223226-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/IterativeReader.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/IterativeReader.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:00	9968/9968	---MCZ	200	added ('OK')	text/html	etag:W/%2226f0-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/IterativeWriter.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/IterativeWriter.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:00	51270/51270	---MCZ	200	added ('OK')	text/html	etag:W/%22c846-40203ba3474c0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/JFXX.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/JFXX.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:01	52625/52625	---MCZ	200	added ('OK')	text/html	etag:W/%22cd91-40203ba3474c0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/JPEG.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/JPEG.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:01	149517/149517	---MCZ	200	added ('OK')	text/html	etag:W/%222480d-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/LLJTran.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/LLJTran.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:02	13159/13159	---MCZ	200	added ('OK')	text/html	etag:W/%223367-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/LLJTranException.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/LLJTranException.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:02	14758/14758	---MCZ	200	added ('OK')	text/html	etag:W/%2239a6-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/Log.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/Log.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:03	16139/16139	---MCZ	200	added ('OK')	text/html	etag:W/%223f0b-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/MediaFormat.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/MediaFormat.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:03	102681/102681	---MCZ	200	added ('OK')	text/html	etag:W/%2219119-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/MediaInfo.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/MediaInfo.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:04	15913/15913	---MCZ	200	added ('OK')	text/html	etag:W/%223e29-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Naming.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Naming.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:04	23778/23778	---MCZ	200	added ('OK')	text/html	etag:W/%225ce2-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/OutStreamToIterativeReader.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/OutStreamToIterativeReader.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:05	9278/9278	---MCZ	200	added ('OK')	text/html	etag:W/%22243e-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/ProgressCallback.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/ProgressCallback.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:05	15823/15823	---MCZ	200	added ('OK')	text/html	etag:W/%223dcf-40203ba06ae00%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/Rational.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/Rational.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:06	19920/19920	---MCZ	200	added ('OK')	text/html	etag:W/%224dd0-40203ba43b700%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Record.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/image/jpeg/Record.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
21:21:06	31700/31700	---MCZ	200	added ('OK')	text/html	etag:W/%227bd4-40203b9f76bc0%22	http://mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/SplitInputStream.html	C:/_Programmierung/kissPhoto/kissPhoto/Doku/MediaUtil/MediaUtil/mediachest.sourceforge.net/mediautil/javadocs/mediautil/gen/directio/SplitInputStream.html	(from http://mediachest.sourceforge.net/mediautil/javadocs/allclasses-frame.html)
